id_revision,tipo_elemento_revisado,id_elemento_revisado,titulo_elemento,fecha_revision,revisor_ficticio,rol_revisor,decision,motivo_decision,nivel_confianza_humana,criterios_aplicados,cambios_sugeridos,accion_posterior,requiere_segunda_revision,trazabilidad,origen_simulado
REV-000001,evento_negocio,EVT-000001,Revisión de pago_recibido,2026-05-10,Revisor Ficticio 1,responsable_datos,aceptar,Resultado simulado en función de criterios de revisión ficticia.,alta,"cumplimiento_politica_interna,trazabilidad","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",cerrar_revision,False,origen=evento_negocio|id=EVT-000001|revision=REV-000001,simulador_revision_humana_v1_local
REV-000002,evento_negocio,EVT-000002,Revisión de pago_pendiente,2026-05-11,Revisor Ficticio 2,direccion,escalar,Resultado simulado en función de criterios de revisión ficticia.,baja,"claridad_documental,cumplimiento_politica_interna","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",enviar_a_revision_senior,True,origen=evento_negocio|id=EVT-000002|revision=REV-000002,simulador_revision_humana_v1_local
REV-000003,evento_negocio,EVT-000003,Revisión de cambio_estado_cliente,2026-05-12,Revisor Ficticio 3,responsable_operaciones,escalar,Resultado simulado en función de criterios de revisión ficticia.,media,"consistencia_datos,cumplimiento_politica_interna","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",enviar_a_revision_senior,True,origen=evento_negocio|id=EVT-000003|revision=REV-000003,simulador_revision_humana_v1_local
REV-000004,evento_negocio,EVT-000004,Revisión de pedido_creado,2026-05-13,Revisor Ficticio 4,responsable_tecnico,escalar,Resultado simulado en función de criterios de revisión ficticia.,alta,"claridad_documental,consistencia_datos","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",enviar_a_revision_senior,True,origen=evento_negocio|id=EVT-000004|revision=REV-000004,simulador_revision_humana_v1_local
REV-000005,evento_negocio,EVT-000005,Revisión de alerta_operativa,2026-05-14,Revisor Ficticio 5,direccion,escalar,Resultado simulado en función de criterios de revisión ficticia.,alta,"claridad_documental,sensibilidad_ficticia","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",enviar_a_revision_senior,True,origen=evento_negocio|id=EVT-000005|revision=REV-000005,simulador_revision_humana_v1_local
REV-000006,evento_negocio,EVT-000006,Revisión de pago_pendiente,2026-05-15,Revisor Ficticio 6,responsable_datos,escalar,Resultado simulado en función de criterios de revisión ficticia.,alta,"consistencia_datos,trazabilidad","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",enviar_a_revision_senior,True,origen=evento_negocio|id=EVT-000006|revision=REV-000006,simulador_revision_humana_v1_local
REV-000007,evento_negocio,EVT-000007,Revisión de retraso_operativo,2026-05-16,Revisor Ficticio 7,responsable_comercial,corregir,Resultado simulado en función de criterios de revisión ficticia.,media,"riesgo_operativo,trazabilidad","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",devolver_para_correccion,False,origen=evento_negocio|id=EVT-000007|revision=REV-000007,simulador_revision_humana_v1_local
REV-000008,evento_negocio,EVT-000008,Revisión de retraso_operativo,2026-05-17,Revisor Ficticio 1,responsable_operaciones,escalar,Resultado simulado en función de criterios de revisión ficticia.,media,"cumplimiento_politica_interna,riesgo_operativo","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",enviar_a_revision_senior,True,origen=evento_negocio|id=EVT-000008|revision=REV-000008,simulador_revision_humana_v1_local
REV-000009,evento_negocio,EVT-000009,Revisión de cambio_estado_cliente,2026-05-18,Revisor Ficticio 2,responsable_privacidad,aceptar,Resultado simulado en función de criterios de revisión ficticia.,alta,"claridad_documental,consistencia_datos","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",cerrar_revision,False,origen=evento_negocio|id=EVT-000009|revision=REV-000009,simulador_revision_humana_v1_local
REV-000010,evento_negocio,EVT-000010,Revisión de retraso_operativo,2026-05-09,Revisor Ficticio 3,responsable_tecnico,solicitar_mas_informacion,Resultado simulado en función de criterios de revisión ficticia.,baja,"claridad_documental,riesgo_operativo","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",mantener_observacion,True,origen=evento_negocio|id=EVT-000010|revision=REV-000010,simulador_revision_humana_v1_local
REV-000011,evento_negocio,EVT-000011,Revisión de devolucion_solicitada,2026-05-10,Revisor Ficticio 4,responsable_comercial,corregir,Resultado simulado en función de criterios de revisión ficticia.,alta,"consistencia_datos,cumplimiento_politica_interna","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",devolver_para_correccion,False,origen=evento_negocio|id=EVT-000011|revision=REV-000011,simulador_revision_humana_v1_local
REV-000012,evento_negocio,EVT-000012,Revisión de cambio_estado_cliente,2026-05-11,Revisor Ficticio 5,responsable_datos,escalar,Resultado simulado en función de criterios de revisión ficticia.,baja,"consistencia_datos,trazabilidad","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",enviar_a_revision_senior,True,origen=evento_negocio|id=EVT-000012|revision=REV-000012,simulador_revision_humana_v1_local
REV-000013,evento_negocio,EVT-000013,Revisión de retraso_operativo,2026-05-12,Revisor Ficticio 6,responsable_privacidad,solicitar_mas_informacion,Resultado simulado en función de criterios de revisión ficticia.,media,"cumplimiento_politica_interna,riesgo_operativo","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",mantener_observacion,False,origen=evento_negocio|id=EVT-000013|revision=REV-000013,simulador_revision_humana_v1_local
REV-000014,evento_negocio,EVT-000014,Revisión de pago_recibido,2026-05-13,Revisor Ficticio 7,responsable_comercial,escalar,Resultado simulado en función de criterios de revisión ficticia.,media,"cumplimiento_politica_interna,riesgo_operativo","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",enviar_a_revision_senior,True,origen=evento_negocio|id=EVT-000014|revision=REV-000014,simulador_revision_humana_v1_local
REV-000015,evento_negocio,EVT-000015,Revisión de cambio_estado_cliente,2026-05-14,Revisor Ficticio 1,responsable_operaciones,bloquear_accion,Resultado simulado en función de criterios de revisión ficticia.,alta,"claridad_documental,trazabilidad","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",bloquear_automatizacion,True,origen=evento_negocio|id=EVT-000015|revision=REV-000015,simulador_revision_humana_v1_local
REV-000016,evento_negocio,EVT-000016,Revisión de retraso_operativo,2026-05-15,Revisor Ficticio 2,responsable_privacidad,rechazar,Resultado simulado en función de criterios de revisión ficticia.,baja,"riesgo_operativo,sensibilidad_ficticia","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",abrir_incidencia,True,origen=evento_negocio|id=EVT-000016|revision=REV-000016,simulador_revision_humana_v1_local
REV-000017,evento_negocio,EVT-000017,Revisión de cambio_estado_cliente,2026-05-16,Revisor Ficticio 3,responsable_tecnico,bloquear_accion,Resultado simulado en función de criterios de revisión ficticia.,alta,"riesgo_operativo,trazabilidad","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",bloquear_automatizacion,True,origen=evento_negocio|id=EVT-000017|revision=REV-000017,simulador_revision_humana_v1_local
REV-000018,evento_negocio,EVT-000018,Revisión de retraso_operativo,2026-05-17,Revisor Ficticio 4,responsable_operaciones,aceptar,Resultado simulado en función de criterios de revisión ficticia.,baja,"riesgo_operativo,sensibilidad_ficticia","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",cerrar_revision,True,origen=evento_negocio|id=EVT-000018|revision=REV-000018,simulador_revision_humana_v1_local
REV-000019,evento_negocio,EVT-000019,Revisión de alerta_operativa,2026-05-18,Revisor Ficticio 5,direccion,rechazar,Resultado simulado en función de criterios de revisión ficticia.,alta,"riesgo_operativo,trazabilidad","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",abrir_incidencia,False,origen=evento_negocio|id=EVT-000019|revision=REV-000019,simulador_revision_humana_v1_local
REV-000020,evento_negocio,EVT-000020,Revisión de reclamacion_cliente,2026-05-09,Revisor Ficticio 6,responsable_privacidad,solicitar_mas_informacion,Resultado simulado en función de criterios de revisión ficticia.,alta,"riesgo_operativo,trazabilidad","Ajustar trazabilidad, validar datos sintéticos y registrar justificación.",mantener_observacion,False,origen=evento_negocio|id=EVT-000020|revision=REV-000020,simulador_revision_humana_v1_local
